,Unnamed: 0,SurveyDate,SyncCnt,SyncFT,MP,Mile,Track,Level,Defect,Value,index,acc_index
0,0,7/26/2017,443,1443,79.28,79,3,2,L Align 124,-1.003,1467,2130
1,1,7/26/2017,443,1452,79.28,79,3,3,R Align 62,-0.71,1476,2142
2,2,7/26/2017,443,1453,79.28,79,3,2,R Align 124,-0.994,1477,2143
3,3,7/26/2017,443,1453,79.28,79,3,2,L Align 124,-1.147,1477,2143
4,4,7/26/2017,443,1453,79.28,79,3,3,L Align 62,-0.764,1477,2143
5,5,7/26/2017,443,1453,79.28,79,3,3,Mult L Align 62,-0.764,1477,2143
6,6,7/26/2017,443,1524,79.28,79,3,2,RQ L,0.303,1548,2231
7,7,7/26/2017,443,1498,79.29,79,3,2,L Align 62,0.584,1522,2199
8,8,7/26/2017,443,1500,79.29,79,3,3,R Align 62,0.525,1524,2201
9,9,7/26/2017,444,13,79.39,79,3,2,Gage Narrow,56.099,2037,2838
10,10,7/26/2017,444,13,79.39,79,3,3,Gage Change,-0.579,2037,2838
11,11,7/26/2017,444,148,79.41,79,3,2,L Align 62,0.496,2172,3005
12,12,7/26/2017,444,209,79.41,79,3,2,RQ L,0.399,2233,3081
13,13,7/26/2017,444,172,79.42,79,3,2,L Align 62,-0.671,2196,3035
14,14,7/26/2017,444,192,79.42,79,3,3,Mult R Align 31,-0.449,2216,3060
15,15,7/26/2017,444,195,79.42,79,3,3,Gage Change,0.508,2219,3064
16,16,7/26/2017,444,236,79.43,79,3,2,R Prof 31,0.882,2260,3115
17,17,7/26/2017,444,251,79.43,79,3,3,R Prof 62,-1.122,2275,3133
18,18,7/26/2017,444,251,79.43,79,3,1,R Prof 31,-1.389,2275,3133
19,19,7/26/2017,444,251,79.43,79,3,2,R Prof 124,-1.303,2275,3133
20,20,7/26/2017,444,253,79.43,79,3,2,L Align 62,-0.539,2277,3136
21,21,7/26/2017,444,1276,79.63,79,3,2,Warp 62,1.121,3300,4406
22,22,7/26/2017,444,1305,79.63,79,3,2,Warp 62,1.127,3329,4442
23,23,7/26/2017,444,1306,79.63,79,3,2,L Prof 124,-1.303,3330,4443
24,24,7/26/2017,450,172,81.68,81,3,2,L Prof 124,-1.168,14196,17225
25,25,7/26/2017,452,1013,82.6,82,3,2,Warp 62,1.173,19037,22532
26,26,7/26/2017,454,1666,83.48,83,3,3,Mult R Prof 31,-0.849,23690,27626
27,27,7/26/2017,454,1685,83.48,83,3,2,L Prof 124,1.193,23709,27647
